Time,TensaoFonte,CorrenteReal,DisparoInferior,DisparoSuperior,TensaoReal,S1.TensaoDesjada,S1.CorrenteReferencia,S1.AnguloDeDisparo
0.0111,262.693,0.00265643,0,0,16.7029,8.16646,0.5,87.6362
0.0112,268.79,0.00273414,0,0,16.7333,8.23984,0.5,87.6149
0.0113,274.505,0.00281189,0,0,16.747,8.31341,0.5,87.5936
0.0114,279.829,0.0028896,0,0,16.7439,8.38719,0.5,87.5723
0.0115,284.756,0.00296719,0,0,16.724,8.46117,0.5,87.5508
0.0116,289.279,0.00304459,0,0,16.6871,8.53535,0.5,87.5293
0.0117,293.39,0.00312171,0,0,16.6332,8.60975,0.5,87.5078
0.0118,297.084,0.00319847,0,0,16.5622,8.68436,0.5,87.4862
0.0119,300.356,0.00327479,0,0,16.4742,8.75919,0.5,87.4645
0.012,303.202,0.0033506,0,0,16.369,8.83423,0.5,87.4428
0.0121,305.616,0.00342581,0,0,16.2468,8.9095,0.5,87.421
0.0122,307.596,0.00350034,0,0,16.1077,8.98498,0.5,87.3991
0.0123,309.139,0.00357412,0,0,15.9516,9.06068,0.5,87.3772
0.0124,310.243,0.00364707,0,0,15.7788,9.13661,0.5,87.3552
0.0125,310.906,0.0037191,1,0,15.5894,9.21276,0.5,87.3331
0.0126,311.127,0.00379017,1,0,15.3922,9.28896,0.5,87.311
0.0127,310.906,0.00386033,1,0,15.2051,9.36493,0.5,87.289
0.0128,310.243,0.00392965,1,0,15.0366,9.44069,0.5,87.2671
0.0129,309.139,0.00399823,1,0,14.8865,9.51623,0.5,87.2452
0.013,307.596,0.00406616,1,0,14.7546,9.59154,0.5,87.2234
0.0131,305.616,0.0041335,1,0,14.6406,9.66664,0.5,87.2016
0.0132,303.202,0.00420036,1,0,14.5442,9.74152,0.5,87.1799
0.0133,300.356,0.00426681,1,0,14.4651,9.81618,0.5,87.1583
0.0134,297.084,0.00433292,1,0,14.4028,9.89064,0.5,87.1367
0.0135,293.39,0.00439879,0,0,14.3571,9.96488,0.5,87.1152
0.0136,289.279,0.00446447,0,0,14.3276,10.0389,0.5,87.0938
0.0137,284.756,0.00453006,0,0,14.3137,10.1128,0.5,87.0724
0.0138,279.829,0.00459561,0,0,14.3152,10.1864,0.5,87.051
0.0139,274.505,0.00466121,0,0,14.3315,10.2598,0.5,87.0298
0.014,268.79,0.00472691,0,0,14.3622,10.3331,0.5,87.0085
0.0141,262.693,0.00479278,0,0,14.4068,10.4061,0.5,86.9874
0.0142,256.223,0.00485889,0,0,14.4647,10.479,0.5,86.9662
0.0143,249.389,0.0049253,0,0,14.5356,10.5517,0.5,86.9452
0.0144,242.201,0.00499206,0,0,14.6187,10.6243,0.5,86.9242
0.0145,234.668,0.00505922,0,0,14.7137,10.6966,0.5,86.9032
0.0146,226.802,0.00512685,0,0,14.8199,10.7688,0.5,86.8823
0.0147,218.613,0.00519499,0,0,14.9367,10.8409,0.5,86.8614
0.0148,210.114,0.00526369,0,0,15.0636,10.9128,0.5,86.8405
0.0149,201.317,0.00533299,0,0,15.1999,10.9845,0.5,86.8197
0.015,192.233,0.00540294,0,0,15.345,11.0562,0.5,86.799
0.0151,182.876,0.00547357,0,0,15.4984,11.1276,0.5,86.7783
0.0152,173.259,0.00554492,0,0,15.6594,11.199,0.5,86.7576
0.0153,163.396,0.00561702,0,0,15.8273,11.2703,0.5,86.7369
0.0154,153.301,0.0056899,0,0,16.0015,11.3414,0.5,86.7163
0.0155,142.988,0.00576359,0,0,16.1813,11.4125,0.5,86.6957
0.0156,132.471,0.00583811,0,0,16.3661,11.4834,0.5,86.6752
0.0157,121.767,0.00591348,0,0,16.5553,11.5543,0.5,86.6546
0.0158,110.889,0.00598972,0,0,16.7481,11.6251,0.5,86.6341
0.0159,99.8542,0.00606684,0,0,16.9438,11.6958,0.5,86.6136
0.016,88.6772,0.00614485,0,0,17.1419,11.7664,0.5,86.5931
0.0161,77.3741,0.00622377,0,0,17.3417,11.837,0.5,86.5726
0.0162,65.9611,0.00630359,0,0,17.5424,11.9076,0.5,86.5522
0.0163,54.4544,0.00638432,0,0,17.7434,11.9781,0.5,86.5317
0.0164,42.8703,0.00646595,0,0,17.9441,12.0486,0.5,86.5113
0.0165,31.2252,0.00654849,0,0,18.1437,12.1191,0.5,86.4909
0.0166,19.5358,0.00663191,0,0,18.3417,12.1895,0.5,86.4705
0.0167,7.81865,0.00671622,0,0,18.5373,12.26,0.5,86.45
0.0168,-3.90963,0.0068014,0,0,18.7299,12.3304,0.5,86.4296
0.0169,-15.6324,0.00688742,0,0,18.9189,12.4009,0.5,86.4092
0.017,-27.3329,0.00697427,0,0,19.1036,12.4714,0.5,86.3887
0.0171,-38.9946,0.00706193,0,0,19.2834,12.5419,0.5,86.3683
0.0172,-50.6008,0.00715036,0,0,19.4578,12.6125,0.5,86.3478
0.0173,-62.1352,0.00723955,0,0,19.6259,12.6831,0.5,86.3273
0.0174,-73.5812,0.00732945,0,0,19.7874,12.7538,0.5,86.3069
0.0175,-84.9227,0.00742004,0,0,19.9416,12.8245,0.5,86.2863
0.0176,-96.1435,0.00751127,0,0,20.0879,12.8953,0.5,86.2658
0.0177,-107.228,0.00760312,0,0,20.2258,12.9661,0.5,86.2453
0.0178,-118.16,0.00769553,0,0,20.3547,13.0371,0.5,86.2247
0.0179,-128.923,0.00778846,0,0,20.4742,13.1082,0.5,86.2041
0.018,-139.504,0.00788187,0,0,20.5836,13.1793,0.5,86.1834
0.0181,-149.887,0.0079757,0,0,20.6825,13.2506,0.5,86.1628
0.0182,-160.056,0.0080699,0,0,20.7705,13.322,0.5,86.1421
0.0183,-169.998,0.00816443,0,0,20.847,13.3935,0.5,86.1213
0.0184,-179.698,0.00825922,0,0,20.9117,13.4651,0.5,86.1006
0.0185,-189.144,0.00835422,0,0,20.9641,13.5369,0.5,86.0797
0.0186,-198.32,0.00844937,0,0,21.0038,13.6088,0.5,86.0589
0.0187,-207.214,0.00854461,0,0,21.0304,13.6808,0.5,86.038
0.0188,-215.814,0.00863986,0,0,21.0436,13.753,0.5,86.017
0.0189,-224.108,0.00873508,0,0,21.043,13.8254,0.5,85.996
0.019,-232.082,0.0088302,0,0,21.0283,13.898,0.5,85.975
0.0191,-239.727,0.00892514,0,0,20.9993,13.9707,0.5,85.9539
0.0192,-247.032,0.00901983,0,0,20.9556,14.0436,0.5,85.9328
0.0193,-253.985,0.00911422,0,0,20.897,14.1166,0.5,85.9116
0.0194,-260.578,0.00920823,0,0,20.8233,14.1899,0.5,85.8903
0.0195,-266.8,0.00930178,0,0,20.7343,14.2634,0.5,85.869
0.0196,-272.643,0.0093948,0,0,20.6298,14.337,0.5,85.8476
0.0197,-278.098,0.00948723,0,0,20.5097,14.4109,0.5,85.8262
0.0198,-283.159,0.00957898,0,0,20.3738,14.4849,0.5,85.8047
0.0199,-287.816,0.00966999,0,0,20.222,14.5592,0.5,85.7832
0.02,-292.065,0.00976017,0,0,20.0543,14.6337,0.5,85.7616
0.0201,-295.899,0.00984945,0,0,19.8705,14.7083,0.5,85.7399
0.0202,-299.313,0.00993777,0,0,19.6708,14.7832,0.5,85.7182
0.0203,-302.301,0.010025,0,0,19.455,14.8583,0.5,85.6964
0.0204,-304.859,0.0101112,0,0,19.2232,14.9337,0.5,85.6745
0.0205,-306.985,0.0101961,0,0,18.9755,15.0092,0.5,85.6526
0.0206,-308.674,0.0102798,0,0,18.7119,15.085,0.5,85.6306
0.0207,-309.924,0.0103622,0,0,18.4325,15.161,0.5,85.6085
0.0208,-310.734,0.0104431,0,1,18.1463,15.2372,0.5,85.5864
0.0209,-311.089,0.0105226,0,1,17.8708,15.3132,0.5,85.5643
0.021,-311.029,0.0106008,0,1,17.6148,15.3891,0.5,85.5423
0.0211,-310.513,0.0106777,0,1,17.378,15.4647,0.5,85.5204
0.0212,-309.556,0.0107535,0,1,17.1603,15.54,0.5,85.4985
0.0213,-308.159,0.0108283,0,1,16.9614,15.6152,0.5,85.4767
0.0214,-306.325,0.0109021,0,1,16.781,15.6901,0.5,85.4549
0.0215,-304.054,0.010975,0,1,16.6187,15.7649,0.5,85.4332
0.0216,-301.352,0.011047,0,1,16.4744,15.8394,0.5,85.4116
0.0217,-298.222,0.0111184,0,1,16.3476,15.9137,0.5,85.39
0.0218,-294.668,0.0111892,0,0,16.238,15.9877,0.5,85.3685
0.0219,-290.695,0.0112594,0,0,16.1451,16.0616,0.5,85.3471
0.022,-286.309,0.0113291,0,0,16.0686,16.1353,0.5,85.3257
0.0221,-281.516,0.0113984,0,0,16.0081,16.2088,0.5,85.3044
0.0222,-276.323,0.0114674,0,0,15.9631,16.282,0.5,85.2831
0.0223,-270.738,0.0115361,0,0,15.9331,16.3551,0.5,85.2619
0.0224,-264.767,0.0116047,0,0,15.9177,16.428,0.5,85.2407
0.0225,-258.421,0.0116731,0,0,15.9163,16.5007,0.5,85.2196
0.0226,-251.707,0.0117415,0,0,15.9285,16.5733,0.5,85.1985
0.0227,-244.636,0.0118099,0,0,15.9537,16.6456,0.5,85.1775
0.0228,-237.216,0.0118784,0,0,15.9913,16.7178,0.5,85.1565
0.0229,-229.46,0.011947,0,0,16.0408,16.7899,0.5,85.1356
0.023,-221.378,0.0120158,0,0,16.1017,16.8617,0.5,85.1148
0.0231,-212.981,0.0120848,0,0,16.1732,16.9335,0.5,85.0939
0.0232,-204.282,0.0121541,0,0,16.255,17.005,0.5,85.0731
0.0233,-195.292,0.0122237,0,0,16.3462,17.0765,0.5,85.0524
0.0234,-186.024,0.0122937,0,0,16.4463,17.1478,0.5,85.0317
0.0235,-176.493,0.012364,0,0,16.5547,17.219,0.5,85.011
0.0236,-166.71,0.0124349,0,0,16.6707,17.29,0.5,84.9904
0.0237,-156.691,0.0125062,0,0,16.7938,17.361,0.5,84.9697
